宁波移动,#genre#
CGTN,http://183.220.20.17:4321/udp/239.11.0.245:5140
CGTV,http://183.220.20.17:4321/udp/239.11.0.138:5140
CGTN,http://183.220.20.17:4321/udp/239.11.0.79:5140
CGTN,http://183.220.20.17:4321/udp/239.11.0.82:5140

康巴卫视,http://183.220.20.17:4321/udp/239.11.0.10:5140
北京卫视,http://183.220.20.17:4321/udp/239.11.0.121:5140
河北卫视,http://183.220.20.17:4321/udp/239.11.0.31:5140
东方卫视,http://183.220.20.17:4321/udp/239.11.0.68:5140
湖南卫视,http://183.220.20.17:4321/udp/239.11.0.119:5140
黑龙江卫视,http://183.220.20.17:4321/udp/239.11.0.36:5140
吉林卫视,http://183.220.20.17:4321/udp/239.11.0.35:5140
江西卫视,http://183.220.20.17:4321/udp/239.11.0.42:5140
东南卫视,http://183.220.20.17:4321/udp/239.11.0.41:5140
河南卫视,http://183.220.20.17:4321/udp/239.11.0.44:5140
浙江卫视,http://183.220.20.17:4321/udp/239.11.0.70:5140
深圳卫视,http://183.220.20.17:4321/udp/239.11.0.71:5140
山东卫视,http://183.220.20.17:4321/udp/239.11.0.73:5140
湖北卫视,http://183.220.20.17:4321/udp/239.11.0.74:5140
江苏卫视,http://183.220.20.17:4321/udp/239.11.0.76:5140
四川卫视,http://183.220.20.17:4321/udp/239.11.0.78:5140
广东卫视,http://183.220.20.17:4321/udp/239.11.0.115:5140
广西卫视,http://183.220.20.17:4321/udp/239.11.0.48:5140
贵州卫视,http://183.220.20.17:4321/udp/239.11.0.51:5140
甘肃卫视,http://183.220.20.17:4321/udp/239.11.0.55:5140
重庆卫视,http://183.220.20.17:4321/udp/239.11.0.116:5140
安徽卫视,http://183.220.20.17:4321/udp/239.11.0.117:5140
辽宁卫视,http://183.220.20.17:4321/udp/239.11.0.118:5140
天津卫视,http://183.220.20.17:4321/udp/239.11.0.123:5140
山西卫视,http://183.220.20.17:4321/udp/239.11.0.32:5140
云南卫视,http://183.220.20.17:4321/udp/239.11.0.52:5140
西藏卫视,http://183.220.20.17:4321/udp/239.11.0.53:5140
陕西卫视,http://183.220.20.17:4321/udp/239.11.0.54:5140
青海卫视,http://183.220.20.17:4321/udp/239.11.0.56:5140
宁夏卫视,http://183.220.20.17:4321/udp/239.11.0.57:5140
新疆卫视,http://183.220.20.17:4321/udp/239.11.0.58:5140
内蒙古卫视,http://183.220.20.17:4321/udp/239.11.0.33:5140
兵团卫视,http://183.220.20.17:4321/udp/239.11.0.204:5140
延边卫视,http://183.220.20.17:4321/udp/239.11.0.206:5140
海南卫视,http://183.220.20.17:4321/udp/239.11.0.193:5140
安多卫视,http://183.220.20.17:4321/udp/239.11.0.124:5140
吉林卫视,http://183.220.20.17:4321/udp/239.10.0.160:5140
康巴卫视,http://183.220.20.17:4321/udp/239.10.0.161:5140
康巴卫视,http://183.220.20.17:4321/udp/239.10.0.162:5140

睛彩篮球,http://183.220.20.17:4321/udp/239.11.0.122:5140
睛彩竞技,http://183.220.20.17:4321/udp/239.10.0.238:5140

四川文化,http://183.220.20.17:4321/udp/239.11.0.3:5140
四川公共,http://183.220.20.17:4321/udp/239.11.0.4:5140
四川经济,http://183.220.20.17:4321/udp/239.11.0.2:5140
四川新闻,http://183.220.20.17:4321/udp/239.11.0.5:5140
四川影视,http://183.220.20.17:4321/udp/239.11.0.77:5140
四川妇女,http://183.220.20.17:4321/udp/239.11.0.8:5140
四川科教,http://183.220.20.17:4321/udp/239.11.0.194:5140
