央视,#genre#
东南卫视,http://107.150.60.122/live/dnwshd.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8
辽宁卫视,http://107.150.60.122/live/lnwshd.m3u8
山东卫视,http://107.150.60.122/live/sdwshd.m3u8
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
广东卫视,http://107.150.60.122/live/gdwshd.m3u8
深圳卫视,http://107.150.60.122/live/szwshd.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8
